Modelo,Tipo,Accuracy,F1_score,Precision,Recall,es_mejor
MLP,Multiclase nativo,0.8908,0.8897,0.8895,0.8908,1
LogisticRegression,Multiclase nativo,0.8898,0.8886,0.8882,0.8898,0
GBT (OvR manual),OvR manual,0.8873,0.8865,0.8864,0.8873,0
OvR + LR binaria,OvR manual,0.8838,0.878,0.8786,0.8838,0
DecisionTree,Multiclase nativo,0.8835,0.881,0.883,0.8835,0
RandomForest,Multiclase nativo,0.8779,0.8718,0.8735,0.8779,0
FMClassifier (OvR),OvR manual,0.8615,0.8566,0.8565,0.8615,0
LinearSVC (OvR),OvR manual,0.8544,0.8186,0.855,0.8544,0
NaiveBayes,Multiclase nativo,0.8381,0.8361,0.8431,0.8381,0
